書名,作者,售價,原價,折扣,動物種類,主題分類,組合分類,連結,圖片
"野生動物自然史, 籠中野性的倖存與滅絕: 大型貓科×冷血動物群×類人猿……來自非洲、南美與亞洲的動物足跡, 打造一座縮小版的自然生態!",威廉．蒙塔納．曼恩,379,480,79折,"貓, 野生動物",其他,"貓-其他, 野生動物-其他",https://www.eslite.com/product/10012016082683068895009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/12/30/192_112357283_245_mainCoverImage1.jpg
全圖解貓咪行為學 (第2版),單熙汝,276,350,79折,貓,"行為訓練, 圖鑑百科","貓-行為訓練, 貓-圖鑑百科",https://www.eslite.com/product/10012013192683068649008,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2026/01/05/15138_195303238_779_mainCoverImage1.jpg
"恆溫動物形貌史, 鳥類和哺乳類的外觀演化: 色彩、結構、體型、行為……從可見的身體特徵出發, 理解鳥類與哺乳類的演化選擇",亞歷山大．韋特摩爾/ 小格利特．S.米勒/ 詹姆斯．W.吉德利,489,620,79折,鳥類,"行為訓練, 寵物溝通, 圖鑑百科","鳥類-行為訓練, 鳥類-寵物溝通, 鳥類-圖鑑百科",https://www.eslite.com/product/10012030392683069206002,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/12/26/8141_114202867_889_mainCoverImage1.jpg
"一按就有感的貓咪按摩術: 讓喵星人舒服到咕嚕咕嚕, 身心靈超健康的穴道與淋巴按摩",石野孝/ 相澤瑪娜,260,330,79折,貓,"醫療健康, 寵物溝通","貓-醫療健康, 貓-寵物溝通",https://www.eslite.com/product/10012168942683061952006,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176595899505420251217160959/mainCoverImage1_1573740.jpg
貓咪輕圖鑑,劉銳/ 含章新實用編輯部,355,450,79折,貓,圖鑑百科,貓-圖鑑百科,https://www.eslite.com/product/10012013912683066109009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/12/22/17029_143916380_764_mainCoverImage1.jpg
臺灣珍鳥重現: 古爾德鳥類博物誌臺灣選集,約翰．古爾德/ 吳建龍/ 李政霖/ 林文宏/ 林大利/ 洪廣冀/ 馮孟婕/ 江勻楷/ 黃瀚嶢,"2,370",3000,79折,鳥類,其他,鳥類-其他,https://www.eslite.com/product/10012043902683062084003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176588342818020251216191029/mainCoverImage1_1573077.jpg
國家地理賞鳥指南,諾亞．史崔克,632,800,79折,鳥類,照護飼養,鳥類-照護飼養,https://www.eslite.com/product/10012030392683066126006,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/12/26/8141_111143793_911_mainCoverImage1.jpg
把牠找回來: 日本第一位寵物偵探真實事件簿,藤原博史,300,380,79折,通用,故事散文,通用-故事散文,https://www.eslite.com/product/10012010302683056369000,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176535499584420251210162317/mainCoverImage1_1568722.jpg
風中舞者: 老鷹四季的飛行圖譜,陳世一/ 張雯玲,355,450,79折,鳥類,其他,鳥類-其他,https://www.eslite.com/product/10012012142683065748001,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/12/23/8985_182844106_224_mainCoverImage1.jpg
世界鯊魚大全: 手繪125種史上最齊全鯊魚圖鑑 (第2版),和布蕪/ 田中彰,592,750,79折,魚類水族,圖鑑百科,魚類水族-圖鑑百科,https://www.eslite.com/product/10012117772683045050001,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176362043723220251120143356/mainCoverImage1_1559258.jpg
潮汐國度: 生命的繁衍密語,劉毅/ 尉鵬,537,680,79折,通用,其他,通用-其他,https://www.eslite.com/product/10012030392683021067009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/10/16/8141_114934264_616_mainCoverImage1.jpg
阿里山山椒魚觀察札記,印莉敏,221,280,79折,"魚類水族, 爬蟲兩棲",故事散文,"魚類水族-故事散文, 爬蟲兩棲-故事散文",https://www.eslite.com/product/10012107272683069501008,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/12/30/322_140104799_632_mainCoverImage1.jpg
鳥類輕圖鑑,含章新實用編輯部,355,450,79折,鳥類,圖鑑百科,鳥類-圖鑑百科,https://www.eslite.com/product/10012013912683045008002,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/11/20/17029_160310540_296_mainCoverImage1.jpg
"一顆豆腐心, 寫下了花園傳奇: 從醫護送養到生命教育, 初衷不改二十年",Rose (晴夜),308,390,79折,通用,"行為訓練, 故事散文","通用-行為訓練, 通用-故事散文",https://www.eslite.com/product/10012013192683042980004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/11/20/8112_162019752_141_mainCoverImage1.jpg
"走過流浪, 從花園小徑找到幸福: 每一個毛孩回家的故事, 都像一場奇蹟",Rose (晴夜),339,430,79折,狗,"照護飼養, 故事散文","狗-照護飼養, 狗-故事散文",https://www.eslite.com/product/10012013192683042354003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/11/20/8112_161957539_471_mainCoverImage1.jpg
鸚鵡的快樂飼養法 (熱銷版),松岡滋/ 監修,276,350,79折,鳥類,照護飼養,鳥類-照護飼養,https://www.eslite.com/product/10012057782683042359008,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176336950997620251117165150/mainCoverImage1_1557461.jpg
狗狗的教養&快樂訓練法 (經典版),戶田美由紀/ 監修,276,350,79折,狗,"照護飼養, 行為訓練","狗-照護飼養, 狗-行為訓練",https://www.eslite.com/product/10012057782683042353006,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176336950997620251117165150/mainCoverImage1_1557462.jpg
"愛你, 愛你, 永遠愛你: 寵物離世陪伴書",沈用熙,284,360,79折,通用,"照護飼養, 離世告別","通用-照護飼養, 通用-離世告別",https://www.eslite.com/product/10012030392683038896005,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/11/12/8141_163858132_933_mainCoverImage1.jpg
聆聽虎鯨之聲: 鯨豚研究奠基者的追鯨紀實,艾利希．霍伊特,474,600,79折,野生動物,攝影藝術,野生動物-攝影藝術,https://www.eslite.com/product/10012043902683035198003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176224625197020251104165050/mainCoverImage1_1550708.jpg
親手做健康貓飯: 針對疾病、症狀與目的之貓咪營養事典 (修訂版),須崎恭彥,276,350,79折,貓,醫療健康,貓-醫療健康,https://www.eslite.com/product/10012168942683032451002,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176188708062520251031130448/mainCoverImage1_1548831.jpg
當然問兔子才清楚! 最誠實的兔兔行為百科超萌圖解: 動物學家全面解析從習性、相處到飼養方式的130篇兔兔真心話,石毛じゅんこ/ 今泉忠明/ 監修,315,399,79折,小動物,"照護飼養, 行為訓練, 圖鑑百科","小動物-照護飼養, 小動物-行為訓練, 小動物-圖鑑百科",https://www.eslite.com/product/10012043902683024111006,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
"昆蟲解剖書: 超過500幅手繪插圖, 帶你探索最漂亮、最奇怪、最有趣的蟲蟲世界 (附限量作者手繪昆蟲透卡)",茱莉亞．羅思曼/ 麥克．赫斯特,410,520,79折,通用,其他,通用-其他,https://www.eslite.com/product/10012043902683024139000,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
小動物外科學 1 (第2版),Spencer A. Johnston/ Karen M. Tobias; 王咸棋/ 吳瑞得/ 武敬和/ 林莉萱/ 夏偉堯/ 張仕杰/ 張雅珮/ 陳以盈/ 劉乃潔/ 鍾承澍/ 簡基憲/ 審閱,"3,200",3200,,通用,其他,通用-其他,https://www.eslite.com/product/10012136832683055555008,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
家禽場衛生管理手冊 38: 影響母雞產蛋之重要病毒性疾病及其預防策略 直接影響生殖系統而致產蛋異常,陳秋麟/ 郭鴻志/ 羅登源,118,150,79折,鳥類,"醫療健康, 圖鑑百科","鳥類-醫療健康, 鳥類-圖鑑百科",https://www.eslite.com/product/10012107272683054430009,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
動物的內心生活 (第2版),彼得．渥雷本,300,380,79折,通用,"照護飼養, 寵物溝通","通用-照護飼養, 通用-寵物溝通",https://www.eslite.com/product/10012013192683024887000,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
黑潮尋鯨: 用身體寫日記的花紋海豚,張卉君/ 余欣怡/ 蔡偉立/ 蔡南益/ 林慧貞/ 林東良,331,420,79折,通用,故事散文,通用-故事散文,https://www.eslite.com/product/10012010302683018778000,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176044692320420251014210205/mainCoverImage1_1537971.jpg
"當貓咪老了: 家有七歲高齡貓, 從飲食健康、生活起居、到醫療照護, 讓愛貓陪伴你長長久久",獸醫NYANTOS,379,480,79折,貓,"照護飼養, 醫療健康","貓-照護飼養, 貓-醫療健康",https://www.eslite.com/product/10012010302683018784001,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176044692320420251014210205/mainCoverImage1_1537968.jpg
終極全方位指南: 龍貓照顧101問,Shahna Powell,869,1100,79折,"貓, 小動物",照護飼養,"貓-照護飼養, 小動物-照護飼養",https://www.eslite.com/product/10012242562683029378008,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176163836358420251028155923/mainCoverImage1_1546202.jpg
黑潮尋鯨: 用身體寫日記的花紋海豚 (附限量插畫明信片2款),張卉君/ 余欣怡/ 蔡偉立/ 蔡南益/ 林慧貞/ 林東良,331,420,79折,通用,"攝影藝術, 故事散文","通用-攝影藝術, 通用-故事散文",https://www.eslite.com/product/10012010302683018777003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176049932657920251015113526/mainCoverImage1_1538234.jpg
超危險生物求生圖鑑,小宮輝之/ 監修,276,350,79折,通用,圖鑑百科,通用-圖鑑百科,https://www.eslite.com/product/10012168942683010940009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175921652230120250930151549/mainCoverImage1_1531194.jpg
"屬狗意的養狗新科學: 舊觀念OUT! 專家嚴選100則最新知識, 隨翻隨讀, 從玩耍、教養、大小便到健康管理全解析, 一本帶你養出最幸福的狗狗",鹿野正顕,308,390,79折,狗,"照護飼養, 醫療健康","狗-照護飼養, 狗-醫療健康",https://www.eslite.com/product/10012043902683007921004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175862536736720250923190246/mainCoverImage1_1528349.jpg
八方蛇集: 八仙山蛇類觀察筆記,毛彥喬/ 林文隆/ 吳雪如/ 陳光庭/ 許竹君/ 許仲淮/ 黃詩宇/ 游立祥/ 顏鴻鈞,276,350,79折,爬蟲兩棲,其他,爬蟲兩棲-其他,https://www.eslite.com/product/10012107272683015198009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/10/03/322_190143110_569_mainCoverImage1.jpg
"歡迎加入動物聊天室: 跨物種觀察筆記, 語言與情感的演化對談",山極壽一/ 鈴木俊貴,331,420,79折,通用,寵物溝通,通用-寵物溝通,https://www.eslite.com/product/10012020152683011356007,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/09/26/227_173448787_255_mainCoverImage1.jpg
鸚鵡傳染病與防治: 一窺臺灣鸚鵡常見傳染病面貌與正確防治要點,馬丞佑/ 陳宇呈,500,500,,鳥類,其他,鳥類-其他,https://www.eslite.com/product/10012126702683017595004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/10/13/17833_143858110_907_mainCoverImage1.jpg
謝謝你因為我很幸福 (附書+牌卡珍藏書盒+74張臺灣藥輪動物陪伴卡+牌卡使用引導+牌卡指引日記電子檔),春花媽,"1,011",1280,79折,通用,"照護飼養, 故事散文","通用-照護飼養, 通用-故事散文",https://www.eslite.com/product/10012122452682998119001,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175758103958520250911165716/mainCoverImage1_1518742.jpg
毛孩的幸福食堂: 新手友善入門寵物點心,兔兔老師Stella,300,380,79折,"狗, 小動物",照護飼養,"狗-照護飼養, 小動物-照護飼養",https://www.eslite.com/product/10012030392682996688004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/09/10/8141_154801745_334_mainCoverImage1.jpg
蝴蝶飼養與觀察 (全新增修版),洪裕榮,466,590,79折,通用,照護飼養,通用-照護飼養,https://www.eslite.com/product/10012168942682988157006,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175669311266220250901101856/mainCoverImage1_1509838.jpg
"鳥友必備! 寵物鳥發情應對手冊: 從鳥寶性知識、下蛋到發情行為處理, 鳥名醫給飼主的幸福教科書",海老澤和莊,355,450,79折,鳥類,"照護飼養, 行為訓練, 圖鑑百科","鳥類-照護飼養, 鳥類-行為訓練, 鳥類-圖鑑百科",https://www.eslite.com/product/10012043902682982332003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175619101018420250826145010/mainCoverImage1_1504662.jpg
"蜂學問: 蜂類生態×養蜂技術×圖解知識, 深入探索蜂之奧秘",蔡明憲,"1,169",1480,79折,野生動物,圖鑑百科,野生動物-圖鑑百科,https://www.eslite.com/product/10012013192682985316000,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/08/29/15138_163648296_545_mainCoverImage1.jpg
當然問倉鼠才清楚! 超萌圖解最誠實的鼠鼠行為: 動物學家全面解析從習性、相處到飼養方式的130篇鼠鼠真心話 (第2版),今泉忠明,315,399,79折,小動物,"照護飼養, 行為訓練, 圖鑑百科","小動物-照護飼養, 小動物-行為訓練, 小動物-圖鑑百科",https://www.eslite.com/product/10012043902682976754002,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175560635031020250819202551/mainCoverImage1_1500552.jpg
